"","text"
"1","Once your eyes are open, even things you already “know” look different. #vegan"
"2","The issue of dedicating more or less space to indie films aside, no self-respecting adult should be addressing most major studio releases at this point. Like, there shouldn't have been any ""criticisms"" of Dumbo. Not one. And literally nobody needs to write anything about Shazam!"
"3","listen here you dumbo, you are so fucking funny and im grateful for you i ***e, i hope you learn how to do maths, and thank you for saying happy birthday and singing hit or miss also can you please help me get a gf? please and thanks.
also you are cute or wtv"
"4","@Variety I didn’t enjoy the focus on the human story rather than Dumbo and the other animals. I missed the circus mouse that supported Dumbo. I especially HATED the casting choice of those children, especially the girl. No passion or expression. Visually? Perfect. Adult actors? Great.1/"
"5","Hahaha so Sharmila Farooqi wasn't the only dumbo to argue that SKMH should be renamed"
"6","@HillaryMonahan @aleksappleton I am STOKED to go see Us, but absolutely refuse to see Dumbo because it is way too fucking disturbing."
"7","@ameriporean I LOVE dumbo but I’m very much not a fan of the live action remake trend"
"8","I honestly can't remember if Dumbo has a voice in the original cartoon. All the other animals have voices. But does Dumbo?
Don't look up clips, give me a solid yes or no."
"9","whoever irene went to see dumbo with must have laughed so much seeing irene birthdays posters plastered everywhere around the mall...."
"10","So Dumbo didn’t do well at the box office. I can’t imagine why– they just took one of the most emotionally disturbing animated films and added an hour of plot, dour CGI, and a weirdly-humanoid elephant that looks like a melted child version of Stubby Kaye."
"11","I am hoping that Disney is going to start to take a look at all these remakes and the reception of #Dumbo and reevaluates the whole thing."
"12","On another note... lost count of date # but when you’re a hustler &amp; work hard.... you have my attention! <U+0001F60D> Excited for our movie night tomorrow! #Dumbo"
"13","@PaulaAbdul @Dumbo @Disney @AmazingLovelyGM I saw this and must think about you<U+0001F418><U+2764> How is the elephant that you adopted NDotto was it right? Elephants are magic"
"14","@Dumbo is amazing #ColinFarrell is always brilliant @DannyDeVito and @MichaelKeaton as-well especially these 2 first time in screen together since #batmanreturns it’s my favourite Disney live action remake to date even for me better than #BeautyAndTheBeast"
"15","@KyleOVox I've run into similar folks in real life. A friend once commented that Dumbo was dumb with no real reason WHY and my Dad complains that it's too sad. It's always nice when you run into people that like it though/"
"16","@chuckwoolery @gatewaypundit Not true. Number four. While still respectable, beat by Dumbo, US, and Captain Marvel. Marvel, by the way, was at $22 million in 3rd, while Unplanned was at $6.1 million."
"17","Someone take me to see Dumbo so I can be properly annoyed by it"
"18","I just saw Dumbo and it made me cry. This is where I’m at."
"19","Imagine going to the movies to see a mediocre live action remake of Dumbo. Why."
"20","sis all the people crying when dumbo’s mum gets taken away yet that’s what happens on a daily basis in the dairy industry with cows OPEN YOUR DAMN EYES"
"21","And BTW, the kids at the cinema I went to LOOOOVED #Dumbo"
"22","Baby #Dumbo was ABSOLUTELY ADORABLE!!!!!! Unfortunately the film didn’t live up to his cuteness."
"23","I was pleasantly surprised and amazed that the blatant the Vandemere=Disney and anti-capitalism messaging in #Dumbo got by the House of Mouse. What benevolent overlords....."
"24","#Dumbo wasn’t a disaster or bad film (it’s one of #TimBurton’s better films in a loooooong time, but that’s not saying much), but it dragged and I had some major qualms with flat line readings from the cast."
"25","uh, stop being dumb for a second. It’s a Tim Burton’s movie. Not for kids. Yes it’s disney and dumbo and ? If your kid is 8, he/she probably won’t like watching the nightmare before christmas. So? what is your point. Also, maybe if parents weren’t *this* dumb they’ll get it"
"26","irene: huffs and puffs about being called dumbo
also irene: goes along with it anyway because she loves us"
"27","@envinyon to be fair, the original Dumbo is frightening"
"28","The DUMBO remake was written by the screenwriter of the american GHOST IN THE SHELL in case y'all were wondering"
"29","Yes. 
I've just cried watching the new #Dumbo and I don't care"
"30","Ok I know it’s fake but the new Dumbo movie is cruel I hate it"
"31","My stepdad won't come to see Dumbo with me because he's gonna cry ffs if he's gonna then obviously I will"
"32","@PaulsMovieTrip @Dumbo @DisneyStudios Dumbo was always one of my favorites.  I just cry so many times when I watch it. The older I get the worse my crying in movies gets. I haven’t seen the new Dumbo for this exact reason. If I cried 2-3 times in the 60 minute classic, just how much more will I cry in this one!!  <U+0001F418>"
"33","I mean it was cute but I was expecting more"
"34","Catch me at the theater when this comes out"
"35","@LilaGraceRose @UnplannedMovie Dumbo was shown in 4259 locations. #Unplanned got an R rating, and with the lack of advertising factored in...the math is pretty amazing! As a retired principal, I feel that instead of putting a condom on a banana for sex ed, show the film. #prolife"
"36","For those curious, my top 5 Disney animated movies are:

- The Lion King
- The Jungle Book
- The Rescuers Down Under
- Dumbo
- Fox and the Hound

(Yeah you can see how I became a furry)"
"37","Going to the movies to see Dumbo. There’s gonna be 5 of us."
"38","Do I care about Dumbo or expect this movie to be great? Not really. But I haven’t been to the movies for a couple weeks now so here we are. Can’t beat my personal record from last year without a little stat padding."
"39","i’d see dumbo for danny devito and danny devito only"
"40","I’m going to see Dumbo this week and I’m so excited <U+2728><U+0001F418>"
"41","weird that the villain in the new dumbo is just.......... walt disney"
"42","Phew. This #Dumbo review is taking forever to upload. At least that gives me plenty of time to play around with a bunch of thumbnails!"
"43","Never really figured out how Barrack got that part when he never had acting experience  !!"
"44","I underestimated how much I fucking love the original Disney movies, I’m rewatching dumbo cuz I haven’t seen it in ages and wtf"
"45","The original dumbo is equal amounts nightmare fule as it is sad and I’m here for it"
"46","Does #VAVandevere have more than one walking stick?  I can't tell from clips and stills, and I was too overwhelmed during the film to notice.

 @Dumbo #Dumbo"
"47","Dumbo debuted with an estimated $45.0M this weekend.

#Dumbo  #BoxOffice  @DisneyStudios  @Dumbo"
"48","Dumbo debuted with an estimated $71.0M internationally.  Global total stands at $116.0M.

#Dumbo  #BoxOffice  @DisneyStudios  @Dumbo"
"49","Dumbo debuted with $45.99M this weekend.

#Dumbo  #BoxOffice  @DisneyStudios  @Dumbo"
"50","International debuts by market for Dumbo include:

China - $10.7M
U.K. - $7.4M
Mexico - $7.2M
Russia - $4.4M
Italy - $3.8M
France - $3.6M
Spain - $3.6M
Brazil - $2.5M
Japan - $2.4M
Australia - $2.1M

#Dumbo  #BoxOffice"
"51","@MrKarasch @Dumbo What if they played a lot of pong to practice first?"
"52","that shit with that xylophone <U+0001F511> <U+0001F418> <U+0001F496> Thanks for reading, -flippo the dumbo idiot <U+0001F414><U+0001F476>"
"53","If me and henry go see dumbo tomorrow I'm gunna do a slight bound of dumbo<U+0001F495>"
"54","Had a great time contributing to this BEC. Watch these instead of #Dumbo."
