"","text"
"1","This is the weekend of LITTLE WOODS, FAST COLOR, RAFIKI, and HAIL SATAN? You wanna see more women directing movies? Support them at the theater and elsewhere."
"2","Neither Little Woods or Fast Color are playing in my city and I am distraught."
"3","Real talk: #LittleWoods should get as much attention as The Rider"
"4","They do love exploring.... letting them roam as you follow make you see new things too. I love going into the woods with little ones."
"5","Seeing #LittleWoods for a second time this weekend. Go see this and learn some things. Also because @TessaThompson_x and @NiaDaCosta"
"6","LITTLE WOODS is an impressive directorial debut from Nia DaCosta featuring powerful performances from Tessa Thompson &amp; Lily James. Two sisters not bonded by blood but by love, just trying to survive &amp; get by in contemporary North Dakota. Great tension, empathy &amp; song choices."
"7","@TessaThompson_x @ava I saw Little Woods a few weeks ago at a screening and it blew me away! Tessa, next to Mississippi Damned, this is one of your best dramatic roles to date. You were fantastic"
"8","Little Woods is taut, blunt and political in all the best ways. Tessa Thompson might be giving a career best performance, which is saying something considering how brilliant she always is. This is a GREAT debut for Nia DaCosta! Go see this film! In LA it’s playing @NuartTheatre."
"9","Women supporting women. And great content!"
"10","Directed by women alert:"
"11","AMERICANS - TO YOUR CINEMAS. I wish we had all these movies in the UK right now. I can't see them, you should."
"12","Match report and full interview Sunday Sportsbeat with Eoin Beatty 2pm. #Kildare #camogie"
"13","REPORT: @KildareCamogie defeat @LimCamogie in Littlewoods Division Three @OfficialCamogie League decider!"
"14","RT Nikyatu: ""We shot [‘Little Woods’] for half the budget I wanted. You're forced into these very scarce resources [for] being a woman or…"
"15","I have never been in one of them, but the other - Littlewoods - is all about small farms, free range, very good quality meat.  On a Saturday there is always a queue for its counter.  For the quality, the prices seen reasonable."
"16","@katiewalshstx It kills me that it’s not playing anywhere near me. I don’t have this or “Little Woods”. (Or literally any of the other women directed films that opened), so I just had to watch “Someone Great” yesterday."
"17","@realDonaldTrump Hillary is going to prison, and Obama is not out of the woods. It’s going to be magnificent watching all the leftist idiots on this thread as their mushy little heads begin to explode."
"18","Total side note but I’m such a big fan of @TheValerieJune so I totally flipped when her song came on in the beginning! She’s a fellow diabetic like me, @dj_diabeatic. 

#LittleWoods"
"19","Does he really lack athleticism or does he lack desire to get the most out of his ability? (In a weight room with guys like Metcalf, AJB, Woods, Webster..) Either answer is pretty damning"
"20","Little Woods may be a fictional place but these characters have a similar story to so many women living in poverty, who have to constantly be on guard from men while protecting their health."
"21","HIGH LIFE was super rad. CONCRETE ruled. CLIMAX was gnarly. PADDLETON wrecked me (was admittedly a big gamble for the day of my uncle’s funeral). US was fun. Anything I’ve missed so far this year? Gonna do PETERLOO and LITTLE WOODS this week, missed the KNIFE + HEART screening."
"22","I thought these were cute nicknames for disney movies at first and I spent more time than I care to admit trying to figure out what Hail Satan was lol"
"23","@KatTimpf Yeah, having to walk out of the house and down a path through the woods to a little building with a half moon on the door"
